IATA_code,ICAO_code,AIRPORT_NAME
ARO,,Arboletes Airport
ARP,,Aragip Airport
ARQ,SKAT[3],El Troncal Airport
ARR,SAVR,Alto Río Senguer Airport
ARS,SWEC,Aragarças Airport
ART,KART,Watertown International Airport
ARU,SBAU,Araçatuba Airport
ARV,KARV,Lakeland Airport (Noble F. Lee Memorial Field)
ARW,LRAR,Arad International Airport
ARY,YARA,Ararat Airport
ARZ,FNZE,N'zeto Airport
ASA,HHSB,Assab International Airport
ASB,UTAA,Ashgabat International Airport
ASC,SLAS,Ascención de Guarayos Airport
ASD,MYAF,Andros Town International Airport
ASE,KASE,Aspen–Pitkin County Airport (Sardy Field)
ASF,URWA,Narimanovo Airport
ASG,NZAS,Ashburton Aerodrome
ASH,KASH,Nashua Airport (Boire Field)
ASI,FHAW,RAF Ascension Island (Wideawake Field)
ASJ,RJKA,Amami Airport
ASK,DIYO,Yamoussoukro Airport
ASL,KASL,Harrison County Airport
ASM,HHAS,Asmara International Airport
ASN,KASN,Talladega Municipal Airport
ASO,HASO,Asosa Airport
ASP,YBAS,Alice Springs Airport
ASQ,,Austin Airport (FAA: 9U3)
ASR,LTAU,Erkilet International Airport
AST,KAST,Astoria Regional Airport
ASU,SGAS,Silvio Pettirossi International Airport
ASV,HKAM,Amboseli Airport
ASW,HESN,Aswan International Airport
ASX,KASX,John F. Kennedy Memorial Airport
ASY,KASY,Ashley Municipal Airport
ASZ,,Asirim Airport
ATA,SPHZ,Comandante FAP Germán Arias Graziani Airport
ATB,HSAT,Atbara Airport
ATC,MYCA,Arthur's Town Airport
ATD,AGAT,Uru Harbour Airport
ATE,,Antlers Municipal Airport (FAA: 80F)
ATF,SEAM,Chachoan Airport
ATG,,PAF Base Minhas
ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport)
ATI,SUAG,Artigas International Airport
ATJ,FMME,Antsirabe Airport
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport
ATL,KATL,Hartsfield–Jackson Atlanta International Airport
ATM,SBHT,Altamira Airport
ATN,AYNX,Namatanai Airport
ATO,KUNI,Ohio University Airport (Snyder Field) (FAA: UNI)
ATP,AYAI,Aitape Airstrip
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport
ATR,GQPA,Atar International Airport
ATS,KATS,Artesia Municipal Airport
ATT,,Atmautluak Airport (FAA: 4A2)
ATU,PAAT,Casco Cove Coast Guard Station
ATV,FTTI,Ati Airport
ATW,KATW,Appleton International Airport
ATX,,Atbasar Airport
ATY,KATY,Watertown Regional Airport
ATZ,HEAT,Assiut Airport
AUA,TNCA,Queen Beatrix International Airport
AUC,SKUC,Santiago Pérez Quiroz Airport
AUD,YAGD,Augustus Downs Airport
AUE,,Abu Rudeis Airport
AUF,LFLA,Auxerre – Branches Aerodrome
AUG,KAUG,Augusta State Airport
AUH,OMAA,Abu Dhabi International Airport
AUI,AYND,Aua Island Airport
AUJ,AYAT,Ambunti Airport
AUK,,Alakanuk Airport
AUL,,Aur Airport
AUM,KAUM,Austin Municipal Airport
AUN,KAUN,Auburn Municipal Airport
AUO,KAUO,Auburn University Regional Airport
AUP,AYAG,Agaun Airport
AUQ,NTMN,Atuona Airport
AUR,LFLW,Aurillac – Tronquières Airport
AUS,KAUS,Austin–Bergstrom International Airport
AUT,WPAT,Atauro Airport
AUU,YAUR,Aurukun Airport
AUV,AYUM,Aumo Airport
AUW,KAUW,Wausau Downtown Airport
AUX,SWGN,Araguaína Airport
AUY,NVVA,Anatom Airport
AUZ,KARR,Aurora Municipal Airport (FAA: ARR)
AVA,ZUAS,Anshun Huangguoshu Airport
AVB,LIPA,Aviano Air Base
AVG,YAUV,Auvergne Airport
AVI,MUCA,Máximo Gómez Airport
AVK,ZMAH,Arvaikheer Airport
AVL,KAVL,Asheville Regional Airport
AVN,LFMV,Avignon – Provence Airport
AVO,KAVO,Avon Park Executive Airport
AVP,KAVP,Wilkes-Barre/Scranton International Airport
AVU,AGGJ,Avu Avu Airport
AVV,YMAV,Avalon Airport
AVW,KAVQ,Marana Regional Airport (FAA: AVQ)
AVX,KAVX,Catalina Airport
AWA,HALA,Awasa Airport
AWB,AYAW,Awaba Airport
AWD,NVVB,Aniwa Airport
AWE,,Alowe Airport
AWK,PWAK,Wake Island Airfield
AWM,KAWM,West Memphis Municipal Airport
AWN,,Alton Downs Airport
AWP,,Austral Downs Airport
AWR,,Awar Airport
AWZ,OIAW,Ahvaz International Airport
AXA,TQPF,Clayton J. Lloyd International Airport
AXB,,Maxson Airfield (FAA: 89N)
AXC,YAMC,Aramac Airport
AXD,LGAL,Alexandroupoli Airport (Dimokritos Airport)
AXE,,Xanxere Airport
AXF,,Alxa Left Banner Bayanhot Airport
AXG,KAXA,Algona Municipal Airport (FAA: AXA)
AXJ,RJDA,Amakusa Airfield[1]
AXK,OYAT,Ataq Airport
AXL,,Alexandria Airport
AXM,SKAR,El Edén International Airport
AXN,KAXN,Alexandria Municipal Airport (Chandler Field)
AXP,MYAP,Spring Point Airport
AXR,NTGU,Arutua Airport
AXS,KAXS,Altus/Quartz Mountain Regional Airport
AXT,RJSK,Akita Airport
AXU,HAAX,Axum Airport
AXV,KAXV,Neil Armstrong Airport
AXX,KAXX,Angel Fire Airport
AYA,,Ayapel Airport
AYC,,Ayacucho Airport
AYD,,Alroy Downs Airport
AYG,SKYA,Yaguara Airport
AYI,,Yari Airport
AYK,UAUR,Arkalyk Airport
AYL,,Anthony Lagoon Airport
AYM,,Yas Island Seaplane Base[1]
AYN,ZHAY,Anyang Airport
AYO,SGAY,Juan de Ayolas Airport
AYP,SPHO,Coronel FAP Alfredo Mendívil Duarte Airport
AYQ,YAYE,Ayers Rock Airport
AYR,YAYR,Ayr Airport
AYS,KAYS,Waycross–Ware County Airport
AYT,LTAI,Antalya Airport
AYU,AYAY,Aiyura Airport
AYX,SPAY,Tnte. Gral. Gerardo Pérez Pinedo Airport
AYY,,Arugam Bay Seaplane Base[1]
AZA,KIWA,Phoenix–Mesa Gateway Airport (FAA: IWA)
AZB,,Amazon Bay Airport
AZD,OIYY,Shahid Sadooghi Airport
AZG,,Pablo L. Sidar Airport
AZI,OMAD,Al Bateen Executive Airport
AZL,SWTU[4],Fazenda Tucunaré Airport[1]
AZN,UTFA,Andizhan Airport
AZO,KAZO,Kalamazoo/Battle Creek International Airport
AZP,MMJC,Jorge Jiménez Cantú National Airport
AZR,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS,MDCY,Samaná El Catey International Airport
AZT,,Zapatoca Airport
AZZ,FNAM,Ambriz Airport
BAA,AYBL,Bialla Airport
BAB,KBAB,Beale Air Force Base
BAC,,Barranca de Upia Airport
BAD,KBAD,Barksdale Air Force Base
BAE,LFMR,Barcelonnette – Saint-Pons Airport
BAF,KBAF,Westfield-Barnes Regional Airport
BAG,RPUB,Loakan Airport
BAH,OBBI,Bahrain International Airport
BAI,MRBA,Buenos Aires Airport
BAJ,,Bali Airport
BAK[1],,metropolitan area2
BAL,LTCJ,Batman Airport
BAM,KBAM,Battle Mountain Airport (Lander County Airport)
BAN,FZVR,Basongo Airport
BAP,,Baibara Airport
BAQ,SKBQ,Ernesto Cortissoz International Airport
BAR,,Qionghai Bo'ao Airport
BAS,AGGE,Balalae Airport
BAT,SBBT,Chafei Amsei Airport
BAV,ZBOW,Baotou Airport
BAW,,Biawonque Airport
BAX,UNBB,Barnaul Airport
BAY,LRBM,Baia Mare Airport
BAZ,SWBC,Barcelos Airport
BBA,SCBA,Balmaceda Airport
BBB,KBBB,Benson Municipal Airport
BBC,KBYY,Bay City Municipal Airport (FAA: BYY)
BBD,KBBD,Curtis Field
BBG,NGTU,Butaritari Atoll Airport
BBH,EDBH,Stralsund–Barth Airport
BBI,VEBS,Biju Patnaik International Airport
BBJ,EDRB,Bitburg Airport (former Bitburg Air Base)
BBK,FBKE,Kasane Airport
BBL,YLLE,Ballera Airport
BBM,VDBG,Battambang Airport
BBN,WBGZ,Bario Airport
BBO,HCMI,Berbera Airport
BBP,EGHJ,Bembridge Airport
BBQ,TAPH,Barbuda Codrington Airport
BBR,TFFB,Baillif Airport
BBS,EGLK,Blackbushe Airport
BBT,FEFT,Berbérati Airport
BBU,LRBS,Aurel Vlaicu International Airport (Băneasa Airport)
BBV,DIGN,Nero-Mer Airport
BBW,KBBW,Broken Bow Municipal Airport
BBX,KLOM,Wings Field (FAA: LOM)
BBY,FEFM,Bambari Airport
BBZ,FLZB,Zambezi Airport
BCA,MUBA,Gustavo Rizo Airport
BCB,KBCB,Virginia Tech Montgomery Executive Airport
BCC,,Bear Creek 3 Airport (FAA: Z48)
BCD,RPVB,Bacolod–Silay International Airport
BCE,KBCE,Bryce Canyon Airport
BCF,FEGU,Bouca Airport
BCG,,Bemichi Airport
BCH,WPEC,Baucau Airport
BCI,YBAR,Barcaldine Airport
BCK,YBWR,Bolwarra Airport
BCL,MRBC,Barra del Colorado Airport
BCM,LRBC,Bacău International Airport
BCN,LEBL,Barcelona–El Prat Airport
BCO,HABC,Baco Airport (Jinka Airport)
BCP,AYBC,Bambu Airport
BCQ,,Brak Airport
BCR,SWNK,Novo Campo Airport
BCS,,Southern Seaplane Airport (FAA: 65LA)
BCT,KBCT,Boca Raton Airport
BCU,,Bauchi State Airport
BCV,,Hector Silva Airstrip
BCW,,Benguerra Island Airport
BCX,UWUB,Beloretsk Airport
BCY,HABU,Bulchi Airport
BCZ,,Bickerton Island Airport
BDA,TXKF,L.F. Wade International Airport
BDB,YBUD,Bundaberg Airport
BDC,SNBC,Barra do Corda Airport
BDD,YBAU,Badu Island Airport
BDE,KBDE,Baudette International Airport
BDF,,Rinkenberger RLA Airport (FAA: 3IS8)
BDG,KBDG,Blanding Municipal Airport
BDH,OIBL,Bandar Lengeh Airport
BDI,FSSB,Bird Island Airport
BDJ,WAOO,Syamsudin Noor Airport
BDK,DIBU,Soko Airport
BDL,KBDL,Bradley International Airport
BDM,LTBG,Bandırma Airport
BDN,OPTH,Talhar Airport
BDO,WICC,Husein Sastranegara International Airport
BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport)
BDQ,VABO,Vadodara Airport (Civil Airport Harni)
BDR,KBDR,Igor I. Sikorsky Memorial Airport
BDS,LIBR,Brindisi – Salento Airport
BDT,FZFD,Gbadolite Airport
BDU,ENDU,Bardufoss Airport
BDV,FZRB,Moba Airport
BDW,YBDF,Bedford Downs Airport
BDX,,Broadus Airport[1]
BDY,,Bandon State Airport (FAA: S05)
BDZ,AYBG,Baindoung Airport
BEA,,Bereina Airport
BEB,EGPL,Benbecula Airport
BEC,KBEC,Beech Factory Airport
BED,KBED,Laurence G. Hanscom Field
BEE,,Beagle Bay Airport
BEF,MNBL,Bluefields Airport
BEG,LYBE,Belgrade Nikola Tesla Airport
BEH,KBEH,Southwest Michigan Regional Airport
BEI,HABE,Beica Airport
BEJ,WALK,Kalimarau Airport
BEK,VIBY,Bareilly Airport
BEL,SBBE,Val de Cans International Airport
BEM,GMMD,Beni Mellal Airport[1]
BEN,HLLB,Benina International Airport
BEO,YLMQ[2][3],Lake Macquarie Airport (Belmont Airport)
BEP,VOBI,Bellary Airport
BEQ,EGXH,RAF Honington
BER,EDDB,Berlin Brandenburg Airport (in construction)
BES,LFRB,Brest Bretagne Airport
BET,PABE,Bethel Airport
BEU,YBIE,Bedourie Airport
BEV,LLBS,Beersheba Airport
BEW,FQBR,Beira Airport
BEX,EGUB,RAF Benson
BEY,OLBA,Beirut–Rafic Hariri International Airport / Beirut Air Base
BEZ,NGBR,Beru Island Airport
BFA[1],SGBN[4],Bahía Negra Airport[1]
BFC,,Bloomfield Airport
BFD,KBFD,Bradford Regional Airport
BFE,EDLI,Bielefeld Airport
BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field)
BFG,,Bullfrog Basin Airport (FAA: U07)
BFH,SBBI,Bacacheri Airport
BFI,KBFI,Boeing Field/King County International Airport
BFJ,ZUBJ,Bijie Feixiong Airport
BFK,KBKF,Buckley Air Force Base
BFL,KBFL,Meadows Field Airport
BFM,KBFM,Mobile Downtown Airport
BFN,FABL,Bloemfontein Airport
BFO,FVCZ,Buffalo Range Airport
BFP,KBVI,Beaver County Airport (FAA: BVI)
BFQ,,Bahía Piña Airport
BFR,KBFR,Virgil I. Grissom Municipal Airport
BFS,EGAA,Belfast International Airport
BFT,KARW,Beaufort County Airport (FAA: ARW)
BFU,ZSBB,Bengbu Airport
BFV,VTUO,Buriram Airport
BFW,DAOS,Sidi Bel Abbès Airport
BFX,FKKU,Bafoussam Airport
BGA,SKBG,Palonegro International Airport
BGB,FOGB,Booué Airport
BGC,LPBG,Bragança Airport
BGD,KBGD,Hutchinson County Airport
BGE,KBGE,Decatur County Industrial Air Park
BGF,FEFF,Bangui M'Poko International Airport
BGG,LTCU,Bingöl Airport[1]
BGH,GQNE,Abbaye Airport
BGI,TBPB,Grantley Adams International Airport
BGJ,BIBF,Borgarfjörður Eystri Airport
BGK,,Big Creek Airport
BGL,VNBL,Balewa Airport
BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field)
BGN,UESG,Belaya Gora Airport
BGO,ENBR,"Bergen Airport, Flesland"
BGP,,Bongo Airport
BGQ,PAGQ,Big Lake Airport
